mouse,strain,cell,id,cell_type,drug,condition,vm,ir_neg,ir_pos,tm_on,tm_neg_off,tm_pos_on,tm_pos_off,sag,spiking,ap_thresh,ap_max,ap_halfwidth,rheobase,ahp_max,epsp,epsp_max,epsp_latency,epsp_width,ipsp,ipsp_max,ipsp_latency,ipsp_width,psam_expression_cell,psam_expression_slice,psam_expression_animal,serotype,dillution
83,pv,S3C1,83_S3C1,l2_sc,washout,10,-66.3312,28.1796,31.6275,7.8206,8.96944,10.8271,9.50251,0.56039,Y,NA,NA,NA,NA,NA,1.754545833,1.910546833,2.691517241,12.53823414,-0.337667233,-0.586327833,NA,NA,N,N,Y,9,2
83,pv,S4C1,83_S4C1,l2_sc,baseline,10,-70.7522,47.338,43.1699,14.0732,13.5717,21.2638,21.7225,0.724166,Y,-42.3813,53.5,0.61,240.625,-54.9063,1.895237,2.061159667,4.220275862,27.1744069,-0.184475135,-0.4221735,NA,NA,N,N,Y,9,2
83,pv,S4C1,83_S4C1,l2_sc,upsem10,10,-69.7555,51.5996,59.6119,26.1041,26.2996,28.2514,32.9862,0.710972,Y,-43.1375,53.525,0.62,160,-56.25,2.710165,2.869737333,3.858733333,30.50719667,-0.270291077,-0.500052967,NA,NA,N,N,Y,9,2
83,pv,S4C1,83_S4C1,l2_sc,washout,10,-70.6187,65.8275,70.2895,31.4728,31.8215,40.6927,30.4508,0.710119,Y,NA,NA,NA,NA,NA,2.476165333,2.655283333,3.8053,31.55750667,-0.270291077,-0.54992558,NA,NA,N,N,Y,9,2
102,pv,S1C2,102_S1C2,l2_in,baseline,20,-79.4515,76.7387,100.102,6.54777,4.62363,5.02014,5.05005,0.907317,Y,-38.8125,41.5,0.12,220.625,-66.9688,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,2
102,pv,S1C2,102_S1C2,l2_in,upsem20,20,-70.9854,52.6304,54.2724,6.45124,3.10746,2.9431,3.56733,0.969247,Y,-44.5625,24.6875,0.16,500,-66.0313,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,2
102,pv,S1C2,102_S1C2,l2_in,washout,20,-74.0081,96.0468,100.305,3.46739,8.03442,7.33091,7.24171,0.983245,Y,-45.1563,0.0875,0.22,295,-63.6875,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,2
1258,sim1cre,S4C1,1258_S4C1,l2_sc,baseline,20,-46.0614,44.28,54.144,12.6965,13.7838,17.1935,32.7633,0.630273,Y,-32.2125,34.8125,0.54,131,-41.7813,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,1
1258,sim1cre,S4C1,1258_S4C1,l2_sc,upsem20,20,-48.9359,28.213,27.7025,4.75042,8.66654,6.81689,4.55967,0.91775,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,1
1258,sim1cre,S4C1,1258_S4C1,l2_sc,washout,20,-38.9655,35.6737,32.534,9.12574,8.05863,5.12374,5.68759,0.91702,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,1
1259,sim1cre,S1C1,1259_S1C1,l2_fc,baseline,20,-77.3998,116.4,204.366,54.2075,14.2528,27.6338,30.1862,0.929269,Y,-38.5125,54.0375,0.45,107,-57.8125,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S1C1,1259_S1C1,l2_fc,upsem20,20,-60.3282,46.76,-10.2592,68.3679,4.29067,53.7481,-59.2401,0.974328,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S3C1,1259_S3C1,l2_fc,baseline,20,-75.5875,205.207,272.255,16.8361,18.6203,29.7015,23.6312,0.894021,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S3C1,1259_S3C1,l2_fc,upsem20,20,-65.2049,120.389,111.513,14.0954,13.2335,12.0193,11.2232,0.916861,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
270,ndnf,S2C3,270_S2C3,l1_in,baseline,20,NA,NA,NA,NA,NA,NA,NA,NA,Y,-30.8562,34.7687,0.51,85,-53.5,4.8726366,5.31460168,3.485604167,12.91373583,NA,-0.581024124,NA,NA,Y,Y,Y,9,1
270,ndnf,S2C3,270_S2C3,l1_in,upsem20,20,NA,NA,NA,NA,NA,NA,NA,NA,Y,-37.2687,22.1687,0.56,193.75,-49.9688,0.476921626,0.8583995,NA,NA,NA,-0.299688765,NA,NA,Y,Y,Y,9,1
270,ndnf,S2C3,270_S2C3,l1_in,washout,20,NA,NA,NA,NA,NA,NA,NA,NA,Y,-45.6688,31.275,0.58,100.625,-53.4688,1.63526508,2.021079,15.18526667,6.162754667,NA,-0.776838533,NA,NA,Y,Y,Y,9,1
284,ndnf,S1C2,284_S1C2,l2_pc,baseline,20,-60.8986,195.41,262.572,26.0954,30.4656,64.703,29.9172,0.691949,Y,NA,NA,NA,NA,NA,5.9994314,6.3388364,3.971577778,19.84289022,-0.212592648,-1.35616478,NA,NA,N,Y,Y,9,1
284,ndnf,S1C2,284_S1C2,l2_pc,upsem20,20,-61.68127,198.262,166.293,34.3414,58.5913,6.61382,10.5302,0.766107,Y,NA,NA,NA,NA,NA,2.189799533,2.411476,3.986191489,19.61401617,-0.016302133,-0.7562324,NA,NA,N,Y,Y,9,1
285,ndnf,S1C1,285_S1C1,l2_sc,baseline,20,-58.804,13.2695,29.7467,6.56129,6.7866,8.42698,7.96978,0.371554,Y,-36.8312,48.7563,0.61,241.875,-49.8125,0.134972559,0.525994633,NA,NA,-0.848012933,-1.013589,NA,NA,N,Y,Y,9,1
285,ndnf,S1C1,285_S1C1,l2_sc,upsem20,20,-63.698,18.8432,23.7969,7.24504,9.76894,11.2095,13.5927,0.370261,Y,-42.7,40.0125,0.63,195,-56.5313,0.003543132,0.5219461,NA,NA,-0.89184423,-1.152012333,NA,NA,N,Y,Y,9,1
285,ndnf,S4C2,285_S4C2,l2_sc,baseline,20,-61.0085,147.371,213.361,30.6999,28.3396,56.5684,40.8904,0.775194,Y,-43.8312,38.0688,0.66,31.875,-59.5,2.815168333,3.166904333,4.600769231,69.58346923,NA,-0.393512383,NA,NA,N,Y,Y,9,1
285,ndnf,S4C2,285_S4C2,l2_sc,upsem20,20,-68.7577,97.7655,76.648,14.3546,14.0784,12.2512,15.6646,0.675429,Y,-38.9562,40.6187,0.73,189.375,-55.2813,1.217253907,1.528216533,18.09030769,18.04979985,NA,-0.382199763,NA,NA,N,Y,Y,9,1
285,ndnf,S4C2,285_S4C2,l2_sc,washout,20,-59.2869,72.9483,107.432,10.905,9.19918,16.5445,10.1948,0.946608,Y,-40.3188,35.95,0.84,55,-54.4375,1.62181631,2.031402414,11.31395833,33.83483542,NA,-0.463209611,NA,NA,N,Y,Y,9,1
288,ndnf,S2C1,288_S2C1,l2_pc,baseline,20,-72.4988,40.0727,51.3512,16.4635,13.9429,21.721,20.5899,0.532642,Y,NA,NA,NA,NA,NA,1.942285333,2.056868667,3.8413,19.18239667,NA,-0.470214833,NA,NA,N,N,N,9,1
288,ndnf,S2C1,288_S2C1,l2_pc,upsem20,20,-77.9999,20.6722,26.2329,5.55544,4.22522,10.5267,5.79984,0.85735,N,NA,NA,NA,NA,NA,0.610929829,0.795188071,NA,NA,NA,-0.473785386,NA,NA,N,N,N,9,1
288,ndnf,S2C1,288_S2C1,l2_pc,washout,20,-71.5122,41.1994,53.2173,11.7276,28.3792,14.5157,17.6005,0.811395,Y,-48.5187,32.0313,0.57,236.875,-58.3438,1.176807233,1.372194367,4.988142857,19.92678429,NA,-0.5173892,NA,NA,N,N,N,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,baseline,20,-64.6297,21.9189,20.7735,7.13164,7.27661,9.82211,9.29849,0.450086,Y,-43.2938,49.725,0.54,350,-57.5938,NA,0.142655542,NA,NA,-2.632693,-2.865678,2.806233333,24.96826333,N,Y,Y,9,1
